Date,AALB.AS,ACKB.BR,AGN.AS,AGS.BR,AGFB.BR,AMG.AS,ACOMO.AS,APAM.AS,ARCAD.AS,ASM.AS,ASML.AS,BAMNB.AS,BAR.BR,BEFB.BR,BEKB.BR,BBED.AS,BOKA.AS,BRNL.AS,CFEB.BR,COLR.BR,CRBN.AS,DIE.BR,DSM.AS,ELI.BR,ECMPA.AS,EVS.BR,EXM.BR,FUR.AS,GBLB.BR,HAL.AS,HEIJM.AS,HEIA.AS,IBAB.BR,ICT.AS,INGA.AS,KENDR.AS,KIN.BR,KPN.AS,MELE.BR,MONT.BR,NEDAP.AS,NSI.AS,OBEL.BR,ORDI.AS,OXUR.BR,PHARM.AS,PHIA.AS,PNL.AS,RAND.AS,REC.BR,ROOD.AS,RDSA.AS,SBMO.AS,SIP.BR,SOF.BR,SOLB.BR,TESB.BR,TWEKA.AS,TUB.BR,UCB.BR,UMI.BR,VAN.BR,VASTN.AS,VPK.AS,WHA.AS,WKL.AS
2012-01-02,13.06,57.68,3.1830000000000003,12.4,1.28,7.8,10.36,11.18,12.313295,23.01,42.188313,3.3510000000000004,5.524285,51.59696599999999,25.75,14.075,28.92,11.77,38.5,29.545,12.32,34.75,36.48,29.606426000000003,25.02,39.200001,5.82,67.613289,51.849998,78.787361,8.3,36.700001,4.95,2.6,5.707999999999999,17.4,10.962,5.652392,10.89,22.321306,20.459999,73.938148,40.98,0.991,18.99,0.8337379999999999,16.162149,2.6489999999999996,23.74,3.839869,0.157,28.27,15.634965,56.833748,60.110001000000004,61.18369300000001,19.902992,16.700001,24.25,32.43,16.15,35.299999,34.700001,41.095001,45.134842,13.66
2012-01-03,13.4,58.990002000000004,3.2,12.89,1.29,8.109,10.4,11.48,12.463991,23.26,42.409088,3.385,5.628571,51.59696599999999,27.315001000000002,14.335,28.92,11.915,39.5,30.795,12.625,34.900002,36.860001000000004,29.853309999999997,25.35,39.25,5.95,68.801834,52.799999,79.063484,8.527999999999999,37.189999,5.0,2.65,5.781000000000001,17.299999,11.265999999999998,5.506278,10.88,22.321306,20.1,73.167549,40.834998999999996,1.043,19.200001,0.843664,16.230759,2.658,24.305,3.864379,0.156,28.504998999999998,15.831199,56.736259,60.799999,62.978790000000004,20.297483,16.745001000000002,24.370001000000002,32.814999,16.559998999999998,35.41,34.25,40.93,45.830963,13.58
2012-01-04,13.195,58.619999,3.1289999999999996,12.99,1.24,7.7,10.18,11.235,12.347323,22.639999,41.55844099999999,3.29,5.435714,50.213669,27.17,14.09,28.719998999999998,11.9,39.290001000000004,30.280001000000002,12.58,34.549999,37.014998999999996,29.626177000000002,24.629998999999998,39.25,6.05,68.59384200000001,51.91,78.6493,8.229,36.845001,4.87,2.748,5.699,17.315001000000002,11.22,5.386839,10.82,22.33042,20.385,70.451012,40.459998999999996,1.0,18.959999,0.813887,15.716196,2.688,23.82,3.7908489999999997,0.165,28.6,15.747798999999999,56.560787,60.119999,62.87540799999999,20.475943,16.5,24.27,32.514998999999996,16.605,35.639998999999996,33.650002,41.125,45.300171,13.38
2012-01-05,13.22,57.900002,3.069,12.8,1.26,7.606,10.03,10.98,12.502880000000001,22.995001000000002,41.311687,3.14,5.307142,49.601067,27.195,14.395,28.790001,11.6075,38.400002,29.9,12.53,34.5,36.834998999999996,29.478046000000003,23.695,39.349998,6.08,67.798988,52.490002000000004,77.443558,7.9,36.830002,4.78,2.65,5.5,17.33,11.062000000000001,5.273464,10.72,22.33042,20.375,70.054039,39.98,0.981,18.65,0.8238129999999999,15.289845000000001,2.5639999999999996,23.455,3.7009800000000004,0.155,28.434998999999998,15.43873,56.707016,59.16,60.403625,19.85603,16.344998999999998,24.290001,32.555,16.355,35.830002,32.41,41.365002000000004,44.247288,13.07
2012-01-06,13.29,57.290001000000004,3.074,12.39,1.24,7.64,9.995,10.93,12.638992,23.440001000000002,41.701298,3.1910000000000003,5.288571,48.894596,27.415001,14.16,28.450001,11.6825,37.950001,29.934998999999998,12.275,34.200001,36.625,29.428669,23.5,38.41,5.99,68.014427,51.790001000000004,75.492287,7.877000000000001,36.514998999999996,4.8,2.6,5.455,17.09,11.17,5.274677,10.75,22.421564,20.25,68.80085,39.615002000000004,0.9740000000000001,18.5,0.794036,15.338851000000002,2.614,23.495001000000002,3.75,0.16,28.92,15.247402,56.560787,58.799999,60.243851,19.743319,16.299999,24.25,32.505001,16.3125,35.310001,31.485001,41.16,43.111736,13.07
2012-01-09,13.285,56.5,3.049,12.22,1.19,7.5,10.11,10.635,12.993856,23.620001000000002,42.077923,3.138,5.27,48.454906,25.950001,14.425,28.445,11.7125,37.66,29.635,12.6,34.0,36.330002,29.606426000000003,23.370001000000002,38.490002000000004,6.05,69.314392,51.310001,74.553467,7.731,36.889998999999996,6.31,2.68,5.49,17.445,11.48,5.268614,10.63,21.883812,20.245001000000002,66.162148,39.900002,0.9590000000000001,18.4,0.744409,15.338851000000002,2.705,23.65,3.5866010000000004,0.165,28.889999,15.011921,57.418655,58.669998,58.599129000000005,19.649391,16.059998999999998,24.15,32.494999,16.225,35.639998999999996,30.99,42.235001000000004,42.915951,13.04
2012-01-10,13.59,57.950001,3.2739999999999996,12.46,1.23,7.649,10.2,11.03,12.886911,24.5,42.181816,3.22,5.387142,48.632759,27.469998999999998,14.5,28.690001000000002,11.875,38.150002,29.575001,12.565,34.099998,37.139998999999996,29.507671000000002,23.639999,38.23,6.03,71.67662800000002,52.950001,76.92813100000002,7.821000000000001,36.93,6.25,2.634,5.787000000000001,18.049999,11.454,5.235268,10.6,22.056986,20.245001000000002,67.329712,40.005001,0.997,18.5,0.744409,14.613563000000001,2.7119999999999997,24.495001000000002,3.611111,0.16399999999999998,29.105,15.453448000000002,58.393505000000005,59.349998,61.099106000000006,20.156593,16.030001000000002,24.02,32.514998999999996,16.977501,36.799999,31.17,42.790001000000004,44.064552,13.395
2012-01-11,13.445,58.32,3.377,12.1,1.21,7.68,10.19,11.295,12.809132,25.305,42.551949,3.2110000000000003,5.45,50.144505,28.084999,14.885,29.07,11.765,38.5,29.545,12.785,33.900002,37.119999,29.211411,24.200001,38.5,5.9,71.193779,53.32,75.694778,7.711,35.650002,6.24,2.699,5.975,18.15,11.4,5.207985,10.61,22.14813,20.184998999999998,66.683662,40.259997999999996,0.99,18.469998999999998,0.734484,14.309726999999999,2.761,24.295,3.62745,0.16,28.08,14.590017000000001,58.432499,59.060001,62.612251,20.344445999999998,15.955,24.049999,32.5,17.1875,36.509997999999996,31.48,41.950001,44.899902000000004,13.35
2012-01-12,13.79,59.169998,3.41,12.94,1.24,7.85,10.18,11.805,12.828577000000001,25.549999,42.11039,3.185,5.528571,50.539734,29.6,14.8,29.0,12.0025,39.0,28.799999,12.75,34.34,37.599998,29.300287,25.235001,38.610001000000004,5.9,72.05547299999998,53.860001000000004,77.296295,7.93,35.314999,6.15,2.7,6.197,18.35,11.48,5.17464,10.6,22.020529,20.190001000000002,69.034363,40.279999,0.99,18.25,0.734484,14.192112,2.838,24.57,3.619281,0.158,27.245001000000002,14.663604999999999,59.075901,58.740002000000004,64.012619,20.569868,16.08,23.82,32.290001000000004,17.2875,36.82,32.764998999999996,42.0,45.996292,13.385
2012-01-13,13.675,59.07,3.332,12.97,1.27,8.05,10.385,11.755,13.407054,24.42,42.23376500000001,3.2119999999999997,5.407141999999999,50.984364,29.08,14.505,29.334999,12.375,39.639998999999996,28.834999,12.74,34.299999,37.575001,29.092905,24.379998999999998,38.610001000000004,5.87,70.057236,53.860001000000004,76.762451,8.212,35.259997999999996,6.02,2.65,6.068,18.34,11.427999999999999,5.154632,10.69,22.403336,20.245001000000002,69.166687,40.075001,0.981,18.139999,0.724558,14.216615,2.785,24.674999,3.6846400000000004,0.154,27.165001,14.423217999999999,59.22213000000001,58.630001,65.037041,20.691975,16.049999,23.52,31.805,17.065001000000002,37.220001,32.244999,41.389998999999996,45.500305,13.415
